,store,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,holiday_flag_was_missing,temperature_was_missing,fuel_price_was_missing,cpi_was_missing,unemployment_was_missing,year,month,day,dow
56,17.0,757738.76,0.0,45.22,2.915,126.5621,6.635,False,False,False,False,False,2010,4,16,4
57,2.0,2432736.52,0.0,50.13,3.932,225.964,7.441,False,False,True,True,False,2011,12,16,4
58,4.0,2771397.17,0.0,36.44,3.149,129.8980645,5.143,False,False,False,False,False,2011,12,16,4
59,14.0,2020550.99,0.0,36.85,3.695,189.8424834,8.424,False,False,False,False,False,2012,2,17,4
60,8.0,836707.85,0.0,75.32,2.582,214.8785562,6.315,False,False,False,False,False,2010,9,17,4
62,18.0,1588430.71,0.0,27.4,3.139,225.722,9.331,False,False,False,True,False,2010,12,17,4
63,6.0,1572117.54,0.0,59.61,3.045,214.7775231,6.858,True,False,False,False,False,2011,2,18,4
64,14.0,2248645.59,0.0,72.62,2.78,182.4424199,8.899,False,False,False,False,False,2010,6,18,4
65,9.0,513073.87,0.0,82.99,2.637,215.0166484,6.384,True,False,False,False,False,2010,6,18,4
66,3.0,364076.85,0.0,83.52,2.637,214.7858259,7.343,False,False,False,False,False,2010,6,18,4
67,1.0,1539483.7,0.0,62.25,3.3080000000000003,218.2205088,7.866,False,False,False,False,False,2011,11,18,4
68,3.0,398838.97,0.0,63.91,3.3080000000000003,221.6432852,7.197,False,False,False,False,False,2011,11,18,4
69,15.0,660838.75,0.0,72.97083333333333,2.909,131.637,8.350000000000001,False,True,False,False,True,2010,2,19,4
70,2.0,2124451.54,0.0,39.69,2.514,210.9451605,8.350000000000001,False,False,False,False,True,2010,2,19,4
71,8.0,895066.5,0.0,82.92,3.554,219.07019680000005,6.425,False,False,False,False,False,2011,8,19,4
72,3.0,424513.08,0.0,73.44,3.594,226.9688442,6.034,False,False,False,False,False,2012,10,19,4
73,1.0,1508068.77,0.0,67.97,3.594,223.4257233,8.3,False,False,False,False,True,2012,10,19,4
74,5.0,313358.15,0.0,69.17,3.594,224.0192873,5.4220000000000015,False,False,False,False,False,2012,10,19,4
75,9.0,519823.3,0.0,49.96,2.7710000000000004,215.43728540000004,6.56,False,False,False,False,False,2010,11,19,4
76,13.0,1811606.21,0.0,32.71,3.682,130.27922579999998,6.104,False,False,True,False,False,2012,1,20,4
77,19.0,1255087.26,0.0,55.2,4.17,137.9230667,8.15,False,False,False,False,False,2012,4,20,4
78,7.0,457340.06,0.0,39.3,3.936,197.7227385,8.09,False,False,False,False,False,2012,4,20,4
79,16.0,435397.19,0.0,43.95,3.828,192.831317,6.339,False,False,False,False,False,2011,5,20,4
80,13.0,1997397.63,0.0,76.34,2.85,226.23,7.951,False,False,False,True,False,2010,8,20,4
81,6.0,1639358.93,0.0,74.24,3.807,217.0146941,6.855,False,False,False,False,False,2011,4,22,4
82,3.0,419497.95,0.0,82.7,3.346,225.3068615,6.664,False,False,False,False,False,2012,6,22,4
83,19.0,1468350.36,0.0,40.49166666666667,3.722,138.1629,8.15,False,True,False,False,False,2012,6,22,4
84,4.0,2036231.39,0.0,82.84,3.627,129.1507742,5.644,False,False,False,False,False,2011,7,22,4
85,13.0,1847430.96,0.0,63.6,3.648,129.5183333,6.877000000000002,False,False,False,False,False,2011,9,23,4
86,3.0,365248.94,0.0,80.19,3.467,219.7414914,7.567,False,False,False,False,False,2011,9,23,4
87,2.0,1861802.7,0.0,54.63,3.555,220.275944,7.057,False,False,False,False,False,2012,2,24,4
88,4.0,2008344.92,0.0,81.85,3.57,129.0663,5.9460000000000015,False,False,False,False,False,2011,6,24,4
89,20.0,1789687.65,0.0,69.37,3.451,226.665,7.527,False,False,True,True,False,2010,9,24,4
90,19.0,1266564.94,0.0,33.26,3.789,133.9587419,7.771,False,False,False,False,False,2011,3,25,4
91,13.0,1807545.43,0.0,42.38,3.435,128.6160645,7.47,False,False,False,False,False,2011,3,25,4
92,14.0,1879451.23,0.0,41.76,3.625,184.9943679,8.549,True,False,False,False,False,2011,3,25,4
93,7.0,532739.77,0.0,50.6,3.804,197.5886046,8.09,False,False,False,False,False,2012,5,25,4
94,20.0,1973135.87,0.0,75.17,2.8080000000000003,204.5675459,7.856,False,False,False,False,False,2010,6,25,4
95,9.0,509263.28,0.0,85.02,2.653,214.8965756,7.550000000000001,False,False,False,False,True,2010,6,25,4
96,10.0,1768172.31,0.0,90.32,3.923,126.1266,9.524,False,False,True,False,False,2010,6,25,4
97,14.0,2095591.63,0.0,34.89,3.923,229.392,8.992,False,False,True,True,False,2010,2,26,4
98,19.0,1427023.45,0.0,39.07,2.963,131.863129,8.35,False,False,False,False,False,2010,3,26,4
99,7.0,629994.47,0.0,57.6,3.485,194.3796374,8.622,True,False,False,False,False,2011,8,26,4
100,6.0,1420405.41,0.0,58.72083333333333,3.523,217.2706543,6.925,False,True,False,False,False,2011,8,26,4
101,11.0,1757242.51,1.0,69.9,2.735,215.0614025,7.564,False,False,False,False,False,2010,11,26,4
102,18.0,961186.23,0.0,50.43,4.023,137.9781333,8.304,False,False,False,False,False,2012,4,27,4
104,1.0,1466046.67,0.0,66.82916666666667,3.786,215.5037878,7.682,False,True,False,False,False,2011,5,27,4
105,1.0,1449142.92,0.0,85.22,2.619,211.5673056,7.787000000000001,True,False,False,False,False,2010,8,27,4
106,8.0,888816.78,0.0,74.92,2.619,214.9362793,6.315,False,False,False,False,False,2010,8,27,4
107,18.0,1256282.79,0.0,69.12,2.906,132.2939355,7.550000000000001,False,False,False,False,True,2010,5,28,4
108,4.0,1857533.7,0.0,73.24583333333334,2.756,126.1602258,7.896,False,True,False,False,False,2010,5,28,4
109,6.0,1644470.66,0.0,78.89,2.759,212.412888,7.0920000000000005,False,False,False,False,False,2010,5,28,4
110,5.0,275142.17,0.0,89.42,3.682,216.0464364,6.529,False,False,False,False,False,2011,7,29,4
111,16.0,485095.41,0.0,48.29,3.75,197.4133259,6.162000000000001,False,False,False,False,False,2012,3,30,4
112,6.0,1498080.16,0.0,68.91,2.78,211.8942725,7.0920000000000005,True,False,False,False,False,2010,4,30,4
113,5.0,298697.84,0.0,67.53,3.756,210.939388,7.1,False,False,True,False,True,2010,4,30,4
114,6.0,1532308.78,0.0,48.17291666666667,2.64,212.8944846,6.973,False,True,False,False,False,2010,7,30,4
115,19.0,1366395.96,0.0,72.83,2.932,132.5983871,8.099,False,False,False,False,False,2010,7,30,4
116,5.0,268929.03,0.0,82.46,2.64,211.9270006,6.496,False,False,False,False,False,2010,7,30,4
117,20.0,1799737.79,1.0,28.85,3.179,204.6432267,7.484,False,False,False,False,False,2010,12,31,4
